Timestamp,latitude,longitude,altitude,speed,course,hacc
07-Oct-2023 18:08:18.002,32.72809,-97.11336,184.165,1.707,231.081,81.965
07-Oct-2023 18:08:19.002,32.72808,-97.11337,184.016,1.703,230.987,83.763
07-Oct-2023 18:08:20.002,32.72806,-97.11337,183.982,1.629,227.007,81.758
07-Oct-2023 18:08:21.002,32.72804,-97.11336,184.353,1.565,221.371,80.806
07-Oct-2023 18:08:22.002,32.72801,-97.11335,184.295,1.5,214.524,80.108
07-Oct-2023 18:08:23.002,32.728,-97.11338,184.359,1.53,215.91,81.298
07-Oct-2023 18:08:24.002,32.72799,-97.11339,184.1,1.552,216.307,82.748
07-Oct-2023 18:08:25.002,32.72798,-97.11342,184.139,1.544,217.295,84.166
07-Oct-2023 18:08:26.002,32.72797,-97.11342,184.281,1.553,216.15,85.622
07-Oct-2023 18:08:27.002,32.72796,-97.11343,184.041,1.545,216.385,87.265
07-Oct-2023 18:08:28.002,32.72794,-97.11344,184.222,1.557,216.41,89.142
07-Oct-2023 18:08:29.002,32.72793,-97.11343,184.38,1.544,215.488,91.106
07-Oct-2023 18:08:30.002,32.72792,-97.11346,184.281,1.544,216.196,93.167
07-Oct-2023 18:08:31.001,32.72791,-97.11345,184.132,1.543,215.315,95.394
