Timestamp,X,Y,Z
07-Oct-2023 23:47:52.998,-0.742157,4.191584,9.94936
07-Oct-2023 23:47:53.097,-0.725392,3.217559,10.207424
07-Oct-2023 23:47:53.197,-2.355202,2.586471,8.261919
07-Oct-2023 23:47:53.296,-1.690884,3.422483,8.90573
07-Oct-2023 23:47:53.395,-1.817371,3.618725,9.293125
07-Oct-2023 23:47:53.495,-1.558559,3.513643,8.330327
07-Oct-2023 23:47:53.594,-1.38956,3.909869,8.342901
07-Oct-2023 23:47:53.693,-1.656455,3.877537,10.357861
07-Oct-2023 23:47:53.793,-1.372047,3.295547,12.269535
07-Oct-2023 23:47:53.892,-0.587229,1.90434,12.470268
07-Oct-2023 23:47:53.991,0.632884,1.29825,10.378667
07-Oct-2023 23:47:54.091,0.474813,1.430276,10.134375
07-Oct-2023 23:47:54.190,0.296084,2.999313,7.68457
07-Oct-2023 23:47:54.289,-0.22588,3.490442,6.353687
07-Oct-2023 23:47:54.389,-1.018183,4.021537,7.812554
07-Oct-2023 23:47:54.488,-0.413291,4.639153,11.078462
07-Oct-2023 23:47:54.587,-1.057251,3.562592,11.940669
07-Oct-2023 23:47:54.687,-0.881517,2.500251,10.700049
07-Oct-2023 23:47:54.786,-2.006128,2.242786,7.334897
07-Oct-2023 23:47:54.886,-0.940794,2.785557,6.553522
07-Oct-2023 23:47:54.985,-2.49097,3.318599,6.92011
07-Oct-2023 23:47:55.084,-2.151775,3.449726,7.372169
07-Oct-2023 23:47:55.184,-2.122586,3.897894,9.917027
07-Oct-2023 23:47:55.283,-2.913841,3.735183,10.472223
07-Oct-2023 23:47:55.382,-2.092499,3.879632,11.883788
07-Oct-2023 23:47:55.482,0.76476,1.644929,13.796959
07-Oct-2023 23:47:55.581,0.583487,2.340383,8.953331
07-Oct-2023 23:47:55.680,-0.316592,2.81804,6.043233
07-Oct-2023 23:47:55.780,-1.065933,3.871699,5.997728
07-Oct-2023 23:47:55.879,-0.627645,4.52015,7.176377
07-Oct-2023 23:47:55.978,-0.699645,4.86653,10.013726
07-Oct-2023 23:47:56.078,-1.649719,4.552034,11.841725
07-Oct-2023 23:47:56.177,-2.418221,2.796185,11.084599
07-Oct-2023 23:47:56.276,-2.455344,1.64927,8.855435
07-Oct-2023 23:47:56.376,-1.761088,2.062411,6.34261
07-Oct-2023 23:47:56.475,-1.595532,4.02483,5.547614
07-Oct-2023 23:47:56.574,-1.675915,3.764073,8.764275
07-Oct-2023 23:47:56.674,-2.162852,3.993396,9.161848
07-Oct-2023 23:47:56.773,-1.037942,3.442242,13.029954
07-Oct-2023 23:47:56.872,0.932411,2.564916,12.256363
07-Oct-2023 23:47:56.972,0.316442,2.261497,8.97339
07-Oct-2023 23:47:57.071,-0.316292,2.956652,5.519921
07-Oct-2023 23:47:57.170,-0.204924,3.524571,6.46805
07-Oct-2023 23:47:57.270,-0.690364,3.585045,9.465117
07-Oct-2023 23:47:57.369,-1.462309,4.862937,11.331586
07-Oct-2023 23:47:57.468,-2.357148,4.682413,10.238559
07-Oct-2023 23:47:57.568,-2.981201,2.026336,11.06993
07-Oct-2023 23:47:57.667,-2.045646,2.417024,7.098688
07-Oct-2023 23:47:57.766,-1.957479,2.265389,6.811436
07-Oct-2023 23:47:57.866,-1.749861,4.624034,6.841373
07-Oct-2023 23:47:57.965,-2.388134,4.390819,10.87264
07-Oct-2023 23:47:58.064,-1.92829,4.350553,11.549533
07-Oct-2023 23:47:58.164,0.249232,3.498974,10.987302
07-Oct-2023 23:47:58.263,-0.222288,3.698509,7.726932
07-Oct-2023 23:47:58.362,-0.911455,3.190316,6.767726
07-Oct-2023 23:47:58.462,-0.135169,4.177064,6.908584
07-Oct-2023 23:47:58.561,-0.7456,5.497767,9.307046
07-Oct-2023 23:47:58.660,-1.311124,5.02026,12.786111
07-Oct-2023 23:47:58.760,-1.450334,4.172423,9.359886
07-Oct-2023 23:47:58.859,-2.59665,2.479743,7.312743
07-Oct-2023 23:47:58.958,-1.665586,3.02476,6.06883
07-Oct-2023 23:47:59.058,-1.727857,4.075425,7.442523
07-Oct-2023 23:47:59.157,-1.584156,4.337829,10.59841
07-Oct-2023 23:47:59.256,-0.830323,4.051924,11.967014
07-Oct-2023 23:47:59.356,1.272953,3.921246,9.041947
07-Oct-2023 23:47:59.455,0.382904,3.007097,8.530161
07-Oct-2023 23:47:59.554,0.461341,3.864514,6.016888
07-Oct-2023 23:47:59.654,0.066911,4.382287,7.406598
07-Oct-2023 23:47:59.753,-0.676892,4.641398,8.527168
07-Oct-2023 23:47:59.852,-0.540526,4.962181,11.488011
07-Oct-2023 23:47:59.952,-1.854344,5.603298,9.435179
